,price,area_house,area_land,type,house_material,num_of_floors
0,20000000,190.0,5.0,индивидуальное жилищное строительство,кирпич,2
1,5550000,160.0,6.0,индивидуальное жилищное строительство,кирпич,2
2,4450000,57.0,11.0,садоводство,дерево,2
3,6490000,110.0,6.0,садоводство,блок,2
4,28900000,279.0,3.0,индивидуальное жилищное строительство,блок,3
5,2300000,42.0,5.0,индивидуальное жилищное строительство,дерево,2
6,4600000,95.0,6.0,садоводство,дерево,2
7,8000000,100.0,9.0,индивидуальное жилищное строительство,блок,1
8,14250000,251.0,8.0,индивидуальное жилищное строительство,блок,2
9,21000000,157.0,15.0,индивидуальное жилищное строительство,блок,2
10,7200000,110.0,13.0,индивидуальное жилищное строительство,блок,1
11,8500000,186.0,5.0,индивидуальное жилищное строительство,блок,2
12,12250000,355.0,5.0,индивидуальное жилищное строительство,блок,3
13,1530000,85.0,6.0,индивидуальное жилищное строительство,дерево,2
14,1450000,45.0,5.0,индивидуальное жилищное строительство,дерево,1
15,10500000,223.0,6.0,индивидуальное жилищное строительство,блок,2
16,1250000,16.0,2.0,индивидуальное жилищное строительство,блок,2
17,41000000,709.0,20.0,индивидуальное жилищное строительство,кирпич,3
18,6300000,130.0,6.0,индивидуальное жилищное строительство,дерево,2
19,6300000,165.0,10.0,индивидуальное жилищное строительство,кирпич,2
20,8500000,278.0,10.0,индивидуальное жилищное строительство,блок,2
21,21900000,350.0,11.0,индивидуальное жилищное строительство,кирпич,3
22,25000000,209.0,7.0,индивидуальное жилищное строительство,кирпич,2
23,1650000,35.0,6.0,индивидуальное жилищное строительство,дерево,1
24,75000000,600.0,29.0,индивидуальное жилищное строительство,монолит-кирпич,3
25,25000000,348.0,10.0,индивидуальное жилищное строительство,блок,4
26,19900000,200.0,11.0,индивидуальное жилищное строительство,кирпич,1
27,6990000,89.0,5.0,индивидуальное жилищное строительство,дерево,2
28,35000000,546.0,4.0,индивидуальное жилищное строительство,кирпич,3
29,8200000,114.0,12.0,индивидуальное жилищное строительство,блок,1
30,32000000,450.0,12.0,индивидуальное жилищное строительство,монолит-кирпич,2
31,5500000,84.0,6.0,садоводство,дерево,2
32,1700000,50.0,5.0,индивидуальное жилищное строительство,дерево,2
33,5500000,319.0,6.0,индивидуальное жилищное строительство,дерево,3
34,5999000,73.0,4.0,садоводство,блок,2
35,2600000,50.0,7.0,садоводство,кирпич,2
36,15100000,256.0,10.0,индивидуальное жилищное строительство,блок,2
37,10500000,158.0,12.0,индивидуальное жилищное строительство,кирпич,2
38,7500000,297.0,10.0,индивидуальное жилищное строительство,блок,2
39,1000000,20.0,4.0,индивидуальное жилищное строительство,дерево,1
40,15000000,484.0,5.0,индивидуальное жилищное строительство,блок,3
41,1100000,34.0,3.0,индивидуальное жилищное строительство,дерево,2
42,10500000,190.0,5.0,индивидуальное жилищное строительство,блок,1
43,6200000,85.0,5.0,индивидуальное жилищное строительство,дерево,1
44,14000000,174.0,5.0,индивидуальное жилищное строительство,блок,2
